0,0 
1,1 
2,2 
3,3 
4,4 
6,5 
7,6 
9,7 
11,8 
13,9 
15,10 
18,11 
21,12 
24,13 
27,14 
31,15 
35,16 
40,17 
45,18 
51,19 
57,20 
64,21 
71,22 
79,23 
88,24 
98,25 
109,26 
121,27 
134,28 
148,29 
164,30 
181,31 
201,32 
222,33 
245,34 
271,35 
299,36 
330,37 
364,38 
401,39 
442,40 
487,41 
537,42 
592,43 
652,44 
718,45 
791,46 
871,47 
960,48 
1057,49 
1163,50 
1281,51 
1410,52 
1552,53 
1708,54 
1880,55 
2069,56 
2277,57 
2506,58 
2758,59 
3034,60 
3339,61 
3674,62 
4042,63 
4447,64 
4893,65 
5384,66 
5923,67 
6516,68 
7169,69 
7887,70 
8677,71 
9545,72 
10501,73 
11552,74 
12708,75 
13980,76 
15379,77 
16918,78 
18611,79 
20474,80 
22522,81 
24775,82 
27254,83 
29980,84 
32979,85 
36278,86 
39907,87 
43899,88 
48290,89 
53120,90 
58433,91 
64277,92 
70706,93 
77777,94 
85556,95 
94113,96 
103525,97 
113879,98 
125268,99 
137796,100 
151576,101 
166735,102 
183409,103 
201751,104 
221928,105 
244121,106 
268535,107 
295389,108 
324929,109 
357423,110 
393166,111 
432484,112 
475734,113 
523308,114 
575640,115 
633205,116 
696526,117 
766180,118 
842799,119 
927080,120 
1019789,121 
1121769,122 
1233947,123 
1357343,124 
1493078,125 
1642387,126 
1806627,127 
